date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,Cumulative Return,MA_20,MA_50,MA_200,Signal
2024-06-03,191.24336235629542,193.31542486412093,190.86663609575578,192.36366271972656,50080500,0.0,0.0,,,,,,Insufficient Data
2024-06-04,192.96839571544555,193.64256361833955,191.37222208281784,192.68089294433594,47471400,0.0,0.0,0.0016491171987693676,0.0016491171987693676,,,,Insufficient Data
2024-06-05,193.72190135445058,195.20901937445223,193.19645419760306,194.1878662109375,54156800,0.0,0.0,0.007821083053818567,0.009483098135165013,,,,Insufficient Data
2024-06-06,194.0094143560484,194.8124556459051,192.5024638984892,192.80979919433594,41181800,0.0,0.0,-0.007096566039325181,0.0023192346636662364,,,,Insufficient Data
2024-06-07,192.978343568532,195.2486855650071,192.47272888451312,195.19911193847656,53103900,0.0,0.0,0.012392071119437187,0.014740045903998134,,,,Insufficient Data
2024-06-10,195.20900753042525,195.60558138834554,190.49980075281104,191.4614715576172,97010200,0.0,0.0,-0.01914783496575234,-0.004690029028111553,,,,Insufficient Data
2024-06-11,191.98692512163242,205.38091074009856,191.96710777388114,205.37098693847656,172373300,0.0,0.0,0.07264916156603096,0.06761840586130674,,,,Insufficient Data
2024-06-12,205.5890679852297,218.30888368086454,205.1231032111954,211.24012756347656,198134300,0.0,0.0,0.028578236451472172,0.09812905710395503,,,,Insufficient Data
2024-06-13,212.8957913864929,214.88852380834695,209.782758705521,212.40008544921875,97862700,0.0,0.0,0.005491181524654332,0.10415908309401045,,,,Insufficient Data
2024-06-14,212.01343611534222,213.32209192759066,209.48533280144244,210.6651153564453,70122700,0.0,0.0,-0.008168405813510082,0.09513986362062532,,,,Insufficient Data
2024-06-17,211.53758704443374,217.06966817138198,210.8931752545736,214.8092498779297,93728300,0.0,0.0,0.01967166948582122,0.11668309305851765,,,,Insufficient Data
2024-06-18,215.72133922684367,216.75241620599633,211.17076165562816,212.44967651367188,79943300,0.0,0.0,-0.01098450539536211,0.10441688159790674,,,,Insufficient Data
